                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69882,                0.54732,                 1.0661,                 0.8827,                0.77394,                0.83321,                0.55895,                  1.177,                0.67825,                 1.3897,              0.0002351,              0.0002351,              0.0002351
                      2,                0.77412,                0.61969,                 1.0978,                0.87933,                0.69541,                0.78423,                0.51549,                  1.268,                0.86139,                 1.4237,             0.00046841,             0.00046841,             0.00046841
                      3,                0.81397,                0.67806,                 1.1356,                 0.8701,                0.70771,                0.77094,                0.46344,                 1.4515,                0.91709,                  1.585,             0.00069702,             0.00069702,             0.00069702
                      4,                0.85493,                0.72996,                 1.1647,                0.85508,                0.71142,                0.78421,                0.46742,                 1.4413,                0.92842,                 1.5931,             0.00069279,             0.00069279,             0.00069279
                      5,                0.86549,                0.74525,                 1.1717,                0.81308,                0.61407,                0.69001,                0.41214,                 1.4582,                 1.1453,                 1.5919,             0.00069279,             0.00069279,             0.00069279
                      6,                0.86593,                 0.7378,                 1.1713,                0.85612,                0.71677,                0.77567,                0.45388,                 1.4406,                 0.9018,                 1.6068,             0.00068573,             0.00068573,             0.00068573
                      7,                0.86586,                0.72973,                 1.1704,                0.86933,                0.67607,                0.75685,                0.44391,                 1.4606,                0.95572,                 1.6182,             0.00067866,             0.00067866,             0.00067866
                      8,                 0.8524,                0.71329,                 1.1549,                 0.8366,                0.67481,                0.74925,                0.47094,                  1.322,                0.94178,                 1.4781,             0.00067159,             0.00067159,             0.00067159
                      9,                0.83235,                0.69935,                 1.1454,                 0.8695,                0.71402,                0.78151,                0.48945,                 1.3611,                0.86872,                 1.5206,             0.00066452,             0.00066452,             0.00066452
                     10,                0.82745,                0.67226,                  1.142,                0.83053,                0.72562,                 0.7836,                0.48928,                 1.3341,                0.87229,                 1.5377,             0.00065745,             0.00065745,             0.00065745
                     11,                0.81433,                0.67048,                 1.1393,                0.87655,                0.71782,                 0.7835,                0.46927,                 1.4622,                0.88266,                 1.5991,             0.00065038,             0.00065038,             0.00065038
                     12,                0.80549,                 0.6426,                 1.1216,                 0.8519,                0.72856,                 0.7847,                0.49605,                 1.3219,                0.81219,                 1.4536,             0.00064331,             0.00064331,             0.00064331
                     13,                0.79276,                0.63161,                  1.119,                0.82736,                0.73495,                0.79046,                0.48439,                 1.3902,                0.83464,                 1.5459,             0.00063625,             0.00063625,             0.00063625
                     14,                 0.7847,                0.61788,                 1.1051,                0.86688,                0.73187,                0.79522,                0.49474,                 1.3639,                 0.8106,                 1.5173,             0.00062918,             0.00062918,             0.00062918
                     15,                0.77068,                0.62114,                 1.1122,                0.85637,                0.72846,                0.80101,                 0.4705,                 1.4549,                0.86493,                 1.5737,             0.00062211,             0.00062211,             0.00062211
                     16,                0.77943,                0.61247,                 1.1109,                0.88635,                 0.7474,                0.81555,                0.50642,                 1.3246,                0.76556,                 1.5033,             0.00061504,             0.00061504,             0.00061504
                     17,                0.75808,                0.58652,                 1.0907,                0.88555,                0.73416,                0.79549,                0.51095,                 1.3055,                0.77185,                 1.4883,             0.00060797,             0.00060797,             0.00060797
                     18,                0.75661,                0.59223,                  1.092,                0.89654,                0.72003,                0.80961,                0.53963,                 1.2173,                0.72236,                 1.4289,              0.0006009,              0.0006009,              0.0006009
                     19,                0.74156,                0.57715,                 1.0895,                0.93516,                0.71959,                0.80993,                 0.5251,                 1.2708,                0.75336,                 1.4396,             0.00059383,             0.00059383,             0.00059383
                     20,                0.73354,                0.56849,                  1.078,                0.89428,                0.76721,                0.82562,                0.52096,                 1.3633,                0.72983,                 1.5187,             0.00058677,             0.00058677,             0.00058677
                     21,                0.72997,                0.56148,                 1.0723,                0.87762,                0.77173,                0.82146,                0.55159,                 1.2099,                0.70062,                 1.4107,              0.0005797,              0.0005797,              0.0005797
                     22,                0.73846,                0.57405,                 1.0836,                0.89551,                0.77058,                0.83766,                0.55063,                 1.2058,                0.67156,                 1.4157,             0.00057263,             0.00057263,             0.00057263
                     23,                0.73225,                 0.5607,                 1.0796,                0.89335,                0.76267,                 0.8318,                0.51855,                  1.363,                0.72877,                 1.5221,             0.00056556,             0.00056556,             0.00056556
                     24,                0.71861,                0.53963,                 1.0619,                0.91185,                 0.7459,                0.82207,                0.55714,                  1.201,                0.68909,                 1.3881,             0.00055849,             0.00055849,             0.00055849
                     25,                0.71455,                0.54674,                 1.0655,                0.90252,                0.75677,                0.83278,                0.56825,                 1.1896,                0.67978,                 1.3764,             0.00055142,             0.00055142,             0.00055142
                     26,                0.71364,                0.54073,                 1.0646,                0.86464,                0.80194,                 0.8426,                0.54763,                 1.2664,                0.65447,                 1.4292,             0.00054435,             0.00054435,             0.00054435
                     27,                0.71494,                0.54237,                 1.0644,                0.93732,                0.76795,                0.85184,                0.56339,                 1.2157,                0.64329,                 1.3951,             0.00053728,             0.00053728,             0.00053728
                     28,                0.69515,                0.52263,                 1.0552,                0.94227,                0.76006,                 0.8431,                0.56231,                 1.1999,                0.66081,                 1.3836,             0.00053022,             0.00053022,             0.00053022
                     29,                0.69727,                0.52585,                 1.0625,                0.91938,                0.75566,                 0.8348,                0.54473,                 1.2733,                0.68964,                 1.4574,             0.00052315,             0.00052315,             0.00052315
                     30,                0.68838,                0.52245,                 1.0539,                0.92218,                0.77119,                0.84454,                0.55649,                 1.2712,                0.67401,                 1.4505,             0.00051608,             0.00051608,             0.00051608
                     31,                0.67896,                0.50997,                 1.0426,                0.90849,                0.79151,                0.85191,                 0.5738,                 1.1697,                  0.652,                 1.3693,             0.00050901,             0.00050901,             0.00050901
                     32,                0.67199,                0.49714,                  1.042,                0.90765,                0.77882,                0.85238,                0.55682,                 1.2651,                0.67245,                 1.4663,             0.00050194,             0.00050194,             0.00050194
                     33,                0.67239,                0.50094,                  1.042,                0.94611,                0.77838,                0.85635,                0.56901,                  1.196,                0.63601,                 1.3821,             0.00049487,             0.00049487,             0.00049487
                     34,                0.66545,                0.49974,                 1.0344,                0.91427,                0.79128,                0.85104,                0.56109,                  1.219,                0.61062,                 1.4194,              0.0004878,              0.0004878,              0.0004878
                     35,                0.66247,                 0.4875,                 1.0327,                0.92021,                0.78243,                0.85423,                0.57595,                 1.2106,                0.61558,                 1.4064,             0.00048074,             0.00048074,             0.00048074
                     36,                0.66265,                0.48944,                  1.032,                0.92729,                0.78914,                0.85159,                0.57924,                 1.1876,                0.60345,                 1.3877,             0.00047367,             0.00047367,             0.00047367
                     37,                0.64057,                0.47233,                 1.0278,                0.91008,                0.79499,                0.85772,                0.57544,                  1.185,                0.61939,                 1.4002,              0.0004666,              0.0004666,              0.0004666
                     38,                0.63776,                0.47671,                 1.0261,                 0.9337,                 0.7714,                0.84642,                0.58808,                 1.1009,                0.63691,                 1.3061,             0.00045953,             0.00045953,             0.00045953
                     39,                0.63883,                0.46878,                 1.0224,                0.89268,                0.80625,                0.86164,                0.60406,                 1.0925,                0.59622,                 1.3202,             0.00045246,             0.00045246,             0.00045246
                     40,                0.64847,                0.47678,                 1.0216,                0.90603,                0.81391,                0.86845,                0.59041,                 1.1309,                0.58822,                 1.3643,             0.00044539,             0.00044539,             0.00044539
                     41,                0.64029,                0.46588,                 1.0164,                0.91098,                0.80278,                0.86464,                0.60605,                 1.0807,                0.58128,                 1.2954,             0.00043832,             0.00043832,             0.00043832
                     42,                0.63285,                 0.4632,                 1.0147,                0.90876,                0.81647,                0.87462,                0.59624,                 1.1551,                0.58096,                 1.4065,             0.00043126,             0.00043126,             0.00043126
                     43,                0.62198,                0.44826,                 1.0126,                0.91381,                0.81234,                0.85892,                0.60341,                 1.1184,                0.57713,                 1.3662,             0.00042419,             0.00042419,             0.00042419
                     44,                0.61432,                0.44994,                 1.0059,                0.95069,                0.79477,                0.86335,                0.58131,                 1.1796,                0.60709,                 1.3862,             0.00041712,             0.00041712,             0.00041712
                     45,                0.61335,                0.44847,                 1.0094,                0.91954,                0.80089,                0.86697,                0.61181,                 1.0887,                0.56937,                 1.3225,             0.00041005,             0.00041005,             0.00041005
                     46,                0.60626,                0.43943,                0.99919,                0.91209,                0.79484,                0.85375,                0.59391,                 1.1028,                0.58858,                 1.3521,             0.00040298,             0.00040298,             0.00040298
                     47,                0.60536,                0.43815,                  1.001,                0.91202,                 0.7885,                0.86613,                0.59689,                 1.1209,                0.58775,                 1.3557,             0.00039591,             0.00039591,             0.00039591
                     48,                0.60129,                0.43516,                0.99869,                0.89551,                0.81938,                 0.8683,                0.62404,                 1.0305,                0.56875,                  1.279,             0.00038884,             0.00038884,             0.00038884
                     49,                0.59069,                0.43316,                0.99751,                0.92569,                0.81123,                0.87039,                0.60092,                 1.1519,                0.59075,                 1.3883,             0.00038178,             0.00038178,             0.00038178
                     50,                0.59741,                0.43148,                0.99665,                0.91314,                0.81629,                0.86464,                0.62624,                 1.0499,                  0.551,                 1.2876,             0.00037471,             0.00037471,             0.00037471
                     51,                0.58852,                0.42411,                0.99522,                0.93402,                0.82366,                0.87677,                 0.6177,                 1.1163,                0.54936,                 1.3598,             0.00036764,             0.00036764,             0.00036764
                     52,                 0.5847,                0.41703,                0.98717,                0.93974,                0.80667,                0.86842,                0.62009,                 1.0648,                0.57238,                 1.3226,             0.00036057,             0.00036057,             0.00036057
                     53,                0.57316,                0.41473,                0.98228,                0.92921,                0.81058,                0.86866,                 0.6222,                   1.05,                0.56225,                 1.2802,              0.0003535,              0.0003535,              0.0003535
                     54,                0.58121,                0.40985,                0.98096,                0.91052,                0.84033,                0.87771,                0.60456,                 1.1661,                0.55176,                 1.3663,             0.00034643,             0.00034643,             0.00034643
                     55,                0.57429,                0.41095,                 0.9788,                0.90593,                0.81831,                 0.8742,                0.63148,                  1.048,                0.56367,                 1.2851,             0.00033936,             0.00033936,             0.00033936
                     56,                0.56379,                0.40449,                0.97907,                0.90521,                0.83193,                0.87914,                0.63851,                 1.0136,                0.52974,                 1.2827,              0.0003323,              0.0003323,              0.0003323
                     57,                0.56319,                0.40136,                0.97818,                 0.9395,                0.79768,                0.86893,                0.62043,                 1.0785,                0.56205,                 1.3079,             0.00032523,             0.00032523,             0.00032523
                     58,                0.55966,                  0.402,                0.97601,                0.91582,                0.81904,                0.87342,                0.62394,                 1.0607,                0.54843,                 1.3211,             0.00031816,             0.00031816,             0.00031816
                     59,                0.55431,                0.39415,                0.97296,                0.92389,                0.83172,                0.88452,                0.64169,                 1.0078,                0.53906,                 1.2864,             0.00031109,             0.00031109,             0.00031109
                     60,                0.55381,                0.39477,                0.97283,                0.94055,                0.82166,                0.88675,                0.63718,                 1.0289,                0.52095,                 1.2942,             0.00030402,             0.00030402,             0.00030402
                     61,                0.54821,                0.39069,                0.97242,                0.92555,                0.84507,                0.88936,                0.62324,                 1.0607,                0.53576,                 1.3134,             0.00029695,             0.00029695,             0.00029695
                     62,                0.54105,                 0.3899,                 0.9729,                0.93862,                 0.8178,                0.88103,                0.61458,                 1.0975,                0.53789,                 1.3689,             0.00028988,             0.00028988,             0.00028988
                     63,                0.53771,                0.38656,                0.96437,                0.94251,                 0.8086,                0.88474,                0.63477,                 1.0166,                0.51405,                 1.2748,             0.00028282,             0.00028282,             0.00028282
                     64,                0.52957,                0.37608,                0.96112,                0.92478,                0.80595,                0.88095,                0.64746,                0.99975,                0.53993,                 1.2596,             0.00027575,             0.00027575,             0.00027575
                     65,                0.53528,                0.37831,                 0.9605,                0.93997,                0.81652,                0.88195,                0.63447,                 1.0635,                0.52725,                 1.3159,             0.00026868,             0.00026868,             0.00026868
                     66,                 0.5304,                0.37823,                0.95648,                 0.9271,                0.82732,                0.87552,                0.64275,                 1.0069,                0.51615,                 1.2726,             0.00026161,             0.00026161,             0.00026161
                     67,                0.51848,                0.36206,                0.95576,                0.94508,                0.82234,                0.88026,                0.62949,                  1.043,                 0.5273,                 1.3093,             0.00025454,             0.00025454,             0.00025454
                     68,                0.51755,                0.36657,                0.95471,                0.93763,                0.82107,                0.88852,                0.64743,                 1.0041,                0.50286,                  1.264,             0.00024747,             0.00024747,             0.00024747
                     69,                0.51452,                0.36186,                0.95342,                0.93052,                0.82416,                0.88163,                0.63117,                 1.0598,                0.52878,                 1.3141,              0.0002404,              0.0002404,              0.0002404
                     70,                0.51031,                0.35563,                  0.952,                0.95646,                0.81712,                0.88365,                0.64305,                 1.0321,                0.52578,                 1.2941,             0.00023334,             0.00023334,             0.00023334
                     71,                0.51308,                0.35942,                0.95042,                0.94092,                0.81572,                0.88666,                0.64611,                 1.0119,                 0.5113,                 1.2713,             0.00022627,             0.00022627,             0.00022627
                     72,                0.50827,                0.35635,                 0.9464,                 0.9488,                0.82665,                 0.8924,                 0.6454,                 1.0121,                0.50442,                 1.2796,              0.0002192,              0.0002192,              0.0002192
                     73,                0.49878,                0.35277,                0.94631,                0.96009,                0.81474,                0.88844,                0.64067,                 1.0424,                0.50943,                  1.317,             0.00021213,             0.00021213,             0.00021213
                     74,                0.49864,                0.35303,                0.94611,                0.94576,                0.81534,                0.88608,                0.64922,                0.97844,                 0.5156,                 1.2476,             0.00020506,             0.00020506,             0.00020506
                     75,                0.49363,                0.34838,                0.94268,                0.95152,                0.82657,                0.89193,                0.65538,                 1.0016,                0.50766,                 1.2823,             0.00019799,             0.00019799,             0.00019799
                     76,                0.49043,                0.34779,                0.94191,                0.95269,                0.82836,                0.89512,                0.64895,                 1.0267,                0.53114,                 1.3095,             0.00019092,             0.00019092,             0.00019092
                     77,                0.49083,                0.34005,                0.94054,                0.95943,                0.83468,                0.89413,                0.65658,                0.99345,                0.50217,                 1.2788,             0.00018385,             0.00018385,             0.00018385
                     78,                0.48647,                0.33782,                0.93649,                0.96768,                0.82592,                0.89428,                0.65482,                 1.0219,                0.51779,                 1.2948,             0.00017679,             0.00017679,             0.00017679
                     79,                0.48325,                 0.3393,                0.93427,                0.94063,                0.84176,                0.89618,                0.65261,                 1.0031,                0.49538,                 1.2702,             0.00016972,             0.00016972,             0.00016972
                     80,                0.48461,                0.33859,                0.93348,                0.94395,                0.82555,                0.89833,                0.64231,                 1.0264,                0.50605,                 1.3026,             0.00016265,             0.00016265,             0.00016265
                     81,                0.47407,                0.33105,                0.93116,                0.93671,                0.83351,                0.89751,                0.66051,                0.97393,                0.50341,                 1.2431,             0.00015558,             0.00015558,             0.00015558
                     82,                0.47505,                0.33309,                0.92949,                 0.9366,                 0.8338,                0.89253,                0.65001,                  1.022,                 0.5104,                 1.2896,             0.00014851,             0.00014851,             0.00014851
                     83,                0.46336,                0.32405,                0.92548,                0.95596,                0.82016,                0.89538,                0.65287,                 1.0036,                0.50521,                 1.2851,             0.00014144,             0.00014144,             0.00014144
                     84,                0.46757,                  0.323,                0.92789,                0.92756,                0.82572,                 0.8932,                0.66408,                0.96675,                0.50811,                 1.2473,             0.00013437,             0.00013437,             0.00013437
                     85,                0.46097,                0.32485,                 0.9256,                0.94618,                0.82567,                0.89442,                0.66309,                0.97888,                0.51782,                 1.2662,             0.00012731,             0.00012731,             0.00012731
                     86,                0.45797,                0.31944,                0.92461,                0.94785,                0.82517,                0.89383,                0.66192,                0.98611,                0.50058,                 1.2711,             0.00012024,             0.00012024,             0.00012024
                     87,                 0.4517,                 0.3149,                0.92289,                0.91945,                0.84182,                 0.8945,                0.66622,                0.96762,                0.50176,                 1.2714,             0.00011317,             0.00011317,             0.00011317
                     88,                0.45274,                0.31669,                0.92175,                0.94623,                0.83151,                0.89856,                0.66368,                0.96769,                0.50038,                 1.2535,              0.0001061,              0.0001061,              0.0001061
                     89,                0.44277,                0.31139,                0.91824,                0.95099,                0.82976,                0.89737,                0.66895,                 0.9511,                0.48866,                 1.2561,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.44655,                0.31137,                0.91907,                0.94111,                 0.8276,                0.89736,                0.67057,                0.94063,                0.48221,                 1.2464,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.44382,                0.26194,                0.90438,                0.95441,                 0.8202,                0.89338,                0.65606,                 0.9739,                0.49882,                 1.2757,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.42483,                0.24969,                0.89456,                0.93655,                0.83416,                0.89528,                0.66775,                0.96168,                0.49652,                 1.2582,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.41816,                0.24704,                0.89367,                0.94998,                0.82337,                0.89505,                0.67275,                0.94333,                0.49856,                 1.2304,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.41244,                0.24475,                0.89194,                0.93891,                0.82953,                0.89774,                0.66723,                 0.9603,                0.48858,                 1.2504,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.41017,                0.24144,                0.88532,                0.91271,                0.84819,                 0.8944,                0.67092,                0.95213,                0.49473,                 1.2547,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.40179,                0.23973,                0.88393,                0.95352,                0.81743,                0.89538,                0.66961,                 0.9438,                0.49872,                 1.2444,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.39597,                0.23626,                0.88184,                 0.9398,                0.82565,                0.89645,                0.66983,                0.94932,                0.49764,                 1.2514,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                 0.3969,                0.23619,                0.88347,                 0.9339,                0.83065,                0.89805,                0.67152,                0.94391,                 0.4921,                 1.2524,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                 0.3952,                0.23695,                0.88316,                0.92209,                0.83755,                0.89798,                0.67264,                0.93877,                0.49052,                 1.2493,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.38853,                0.23084,                0.87904,                0.93699,                0.82507,                0.89758,                0.67164,                0.94204,                0.49064,                 1.2464,             2.1277e-05,             2.1277e-05,             2.1277e-05
